dt,is_long,R,R_cost,year,maturity
2024-04-25 23:25:00-07:00,True,-1.0,-1.0315555555555556,2024,-2.2574727169479902
2024-05-14 10:30:00-07:00,True,1.5,1.4737037037037037,2024,0.8612229052332429
2024-05-15 17:55:00-07:00,True,-1.0,-1.0265420560747665,2024,1.3727565319771529
2024-05-24 09:55:00-07:00,True,-1.0,-1.022015503875969,2024,2.487912685496911
2024-06-10 12:05:00-07:00,True,-1.0,-1.0111372549019608,2024,3.5567181750893138
2024-06-12 10:05:00-07:00,True,-1.0,-1.0236666666666667,2024,4.464672507693988
2024-06-13 16:20:00-07:00,True,1.5,1.4665882352941177,2024,5.7882605879254045
2024-06-25 10:45:00-07:00,True,1.5,1.4907792207792208,2024,4.1080858079089095
2024-06-28 05:15:00-07:00,True,0.5,0.46055555555555555,2024,4.90809324138639
2024-07-01 05:55:00-07:00,True,-1.0,-1.0129680365296803,2024,4.0852051109971805
2024-07-02 12:55:00-07:00,True,0.5,0.4726923076923077,2024,3.786992267606757
2024-07-05 12:05:00-07:00,True,-1.0,-1.0267924528301886,2024,5.2376203153148495
2024-07-08 00:20:00-07:00,True,0.5,0.4691304347826087,2024,5.779210567044599
2024-07-10 07:05:00-07:00,True,-1.0,-1.0126222222222223,2024,6.023143143391905
2024-07-10 23:40:00-07:00,True,1.5,1.461095890410959,2024,6.023143143391905
2024-07-14 20:40:00-07:00,True,1.5,1.4669767441860464,2024,3.8844878903686455
2024-07-15 04:00:00-07:00,True,0.5,0.4677272727272727,2024,4.2077312803329185
2024-07-15 20:20:00-07:00,True,-1.0,-1.0244827586206897,2024,4.2077312803329185
2024-07-16 05:35:00-07:00,True,0.5,0.4750877192982456,2024,3.9878655162144785
2024-07-23 06:05:00-07:00,True,0.5,0.4872645739910314,2024,0.5472797484036642
2024-07-31 03:50:00-07:00,True,1.5,1.4781538461538462,2024,-2.0579456125594566
2024-08-08 09:55:00-07:00,True,0.5,0.4932219570405728,2024,-3.4440095656312626
2024-08-13 15:30:00-07:00,True,1.5,1.4665882352941177,2024,-2.08891251049008
2024-08-21 06:45:00-07:00,True,1.5,1.4701052631578948,2024,0.4291352010316924
2024-08-27 10:10:00-07:00,True,0.5,0.48672897196261683,2024,-0.028107706496415447
2024-08-28 01:30:00-07:00,True,0.5,0.4741818181818182,2024,0.09537922560859141
2024-08-29 05:20:00-07:00,True,1.5,1.4867289719626169,2024,-0.6865166091184493
2024-09-04 02:20:00-07:00,True,-1.0,-1.013719806763285,2024,-1.7649717530875983
2024-09-11 05:55:00-07:00,True,1.5,1.4838636363636364,2024,-1.320909009084917
2024-09-12 07:55:00-07:00,True,1.5,1.4951286449399657,2024,0.18363452943463462
2024-09-18 17:55:00-07:00,True,1.5,1.4922191780821918,2024,1.5039569528197894
2024-09-24 03:40:00-07:00,True,-1.0,-1.0244827586206897,2024,2.7729121365601634
2024-09-24 10:35:00-07:00,True,-1.0,-1.0184415584415585,2024,2.7729121365601634
2024-09-30 16:15:00-07:00,True,1.5,1.4734579439252335,2024,2.847620790865214
2024-10-08 01:20:00-07:00,True,1.5,1.4904377104377105,2024,1.21353845689066
2024-10-08 09:20:00-07:00,True,-1.0,-1.0322727272727272,2024,1.21353845689066
2024-10-10 20:45:00-07:00,True,-1.0,-1.0342168674698795,2024,2.612162261844957
2024-10-14 09:05:00-07:00,True,-1.0,-1.009311475409836,2024,2.7819479105534723
2024-10-14 20:35:00-07:00,True,-1.0,-1.0546153846153845,2024,2.7819479105534723
2024-10-18 05:15:00-07:00,True,0.5,0.48,2024,2.3796902176976062
