timestamp_utc,open,high,low,close,volume
2019-12-12T15:40:00+00:00,11807.25,11808.75,11805.5,11806.25,0
2019-12-12T15:41:00+00:00,11806.5,11807.5,11802.5,11802.5,0
2019-12-12T15:42:00+00:00,11803.75,11804.0,11801.5,11803.5,0
2019-12-12T15:43:00+00:00,11803.25,11803.5,11798.25,11799.0,0
2019-12-12T15:44:00+00:00,11798.75,11799.25,11793.0,11794.5,0
2019-12-12T15:45:00+00:00,11795.25,11795.25,11791.25,11791.25,0
2019-12-12T15:46:00+00:00,11791.0,11795.5,11789.75,11789.75,0
2019-12-12T15:47:00+00:00,11789.25,11793.25,11789.25,11790.0,0
2019-12-12T15:48:00+00:00,11790.5,11791.5,11788.0,11791.0,0
2019-12-12T15:49:00+00:00,11791.0,11792.0,11787.0,11787.75,0
2019-12-12T15:50:00+00:00,11789.5,11791.25,11789.5,11790.5,0
2019-12-12T15:51:00+00:00,11791.25,11793.25,11791.25,11792.25,0
2019-12-12T15:52:00+00:00,11793.5,11794.75,11793.25,11794.75,0
2019-12-12T15:53:00+00:00,11795.5,11797.5,11794.5,11797.25,0
2019-12-12T15:54:00+00:00,11796.5,11799.0,11795.75,11799.0,0
2019-12-12T15:55:00+00:00,11799.0,11801.0,11798.5,11800.75,0
2019-12-12T15:56:00+00:00,11801.5,11808.25,11801.25,11806.0,0
2019-12-12T15:57:00+00:00,11806.5,11806.5,11801.25,11803.25,0
2019-12-12T15:58:00+00:00,11802.25,11802.75,11801.25,11801.25,0
2019-12-12T15:59:00+00:00,11801.25,11802.75,11800.0,11802.25,0
2019-12-12T16:00:00+00:00,11802.0,11802.75,11800.5,11802.25,0
2019-12-12T16:01:00+00:00,11803.0,11804.0,11797.5,11799.75,0
2019-12-12T16:02:00+00:00,11800.25,11802.0,11797.25,11800.75,0
2019-12-12T16:03:00+00:00,11801.75,11802.5,11794.5,11794.75,0
2019-12-12T16:04:00+00:00,11795.25,11797.0,11794.0,11794.25,0
2019-12-12T16:05:00+00:00,11793.75,11794.5,11792.75,11794.0,0
2019-12-12T16:06:00+00:00,11792.75,11796.5,11792.25,11794.0,0
2019-12-12T16:07:00+00:00,11794.75,11796.75,11793.75,11795.75,0
2019-12-12T16:08:00+00:00,11794.75,11795.25,11790.25,11794.5,0
2019-12-12T16:09:00+00:00,11795.75,11795.75,11794.25,11794.75,0
2019-12-12T16:10:00+00:00,11794.0,11794.25,11789.5,11790.25,0
2019-12-12T16:11:00+00:00,11790.0,11792.75,11788.75,11792.75,0
2019-12-12T16:12:00+00:00,11791.5,11791.5,11788.0,11791.5,0
2019-12-12T16:13:00+00:00,11790.75,11790.75,11785.75,11786.0,0
2019-12-12T16:14:00+00:00,11785.75,11786.25,11783.25,11783.5,0
2019-12-12T16:15:00+00:00,11784.25,11785.0,11782.0,11785.0,0
2019-12-12T16:16:00+00:00,11785.75,11785.75,11782.5,11783.5,0
2019-12-12T16:17:00+00:00,11783.5,11785.5,11780.75,11785.5,0
2019-12-12T16:18:00+00:00,11785.5,11786.75,11784.0,11785.0,0
2019-12-12T16:19:00+00:00,11785.5,11785.5,11782.75,11784.0,0
2019-12-12T16:20:00+00:00,11782.75,11784.0,11781.75,11782.75,0
2019-12-12T16:21:00+00:00,11783.25,11783.25,11777.25,11778.25,0
2019-12-12T16:22:00+00:00,11777.0,11779.0,11774.0,11776.5,0
2019-12-12T16:23:00+00:00,11776.5,11777.5,11775.5,11776.0,0
2019-12-12T16:24:00+00:00,11775.5,11775.5,11772.25,11774.25,0
2019-12-12T16:25:00+00:00,11772.75,11774.75,11771.25,11772.5,0
2019-12-12T16:26:00+00:00,11771.75,11772.75,11770.0,11770.0,0
2019-12-12T16:27:00+00:00,11770.0,11770.0,11766.0,11768.25,0
2019-12-12T16:28:00+00:00,11768.25,11768.25,11763.5,11764.75,0
2019-12-12T16:29:00+00:00,11764.25,11764.25,11761.75,11763.5,0
2019-12-12T16:30:00+00:00,11763.25,11763.5,11759.0,11759.0,0
2019-12-12T16:31:00+00:00,11759.0,11763.25,11756.25,11762.25,0
2019-12-12T16:32:00+00:00,11762.25,11765.75,11762.25,11765.75,0
2019-12-12T16:33:00+00:00,11766.0,11768.75,11765.25,11768.0,0
2019-12-12T16:34:00+00:00,11768.0,11768.75,11763.25,11764.0,0
2019-12-12T16:35:00+00:00,11763.5,11764.5,11759.0,11759.0,0
2019-12-12T16:36:00+00:00,11759.0,11759.75,11755.75,11759.25,0
2019-12-12T16:37:00+00:00,11759.75,11763.0,11759.75,11761.75,0
2019-12-12T16:38:00+00:00,11762.75,11766.75,11762.75,11766.75,0
2019-12-12T16:39:00+00:00,11766.25,11768.0,11764.0,11767.0,0
2019-12-12T16:40:00+00:00,11766.25,11766.25,11763.25,11763.25,0
2019-12-12T16:41:00+00:00,11763.0,11763.0,11756.0,11758.75,0
2019-12-12T16:42:00+00:00,11757.75,11758.75,11753.0,11754.25,0
2019-12-12T16:43:00+00:00,11754.0,11759.75,11752.75,11758.25,0
2019-12-12T16:44:00+00:00,11758.25,11759.25,11756.25,11756.25,0
2019-12-12T16:45:00+00:00,11756.25,11760.5,11756.25,11759.0,0
2019-12-12T16:46:00+00:00,11758.5,11760.5,11757.0,11758.25,0
2019-12-12T16:47:00+00:00,11759.75,11764.25,11759.75,11762.25,0
2019-12-12T16:48:00+00:00,11761.75,11765.5,11761.5,11762.75,0
2019-12-12T16:49:00+00:00,11762.0,11763.25,11761.25,11763.25,0
2019-12-12T16:50:00+00:00,11763.25,11764.25,11761.25,11761.25,0
2019-12-12T16:51:00+00:00,11761.0,11763.25,11754.25,11762.5,0
