dt,is_long,mae,mfe,session,won_0.25,won_0.50,won_0.75,won_1.00,year
2024-06-10 12:05:00-07:00,True,1.0,0.5333333333333333,NY,True,True,False,False,2024
2024-06-13 16:20:00-07:00,True,0.07058823529411765,2.011764705882353,ASIA,True,True,True,True,2024
2024-06-25 10:45:00-07:00,True,0.05844155844155844,2.0064935064935066,NY,True,True,True,True,2024
2024-06-28 05:15:00-07:00,True,0.7222222222222222,2.4027777777777777,LONDON,True,True,True,True,2024
2024-06-28 12:55:00-07:00,False,1.0,1.471698113207547,NY,True,True,True,True,2024
2024-07-01 05:55:00-07:00,True,1.0,0.1780821917808219,LONDON,False,False,False,False,2024
2024-07-02 12:55:00-07:00,True,1.0,1.8461538461538463,NY,True,True,True,True,2024
2024-07-08 00:20:00-07:00,True,0.4673913043478261,2.152173913043478,LONDON,True,True,True,True,2024
2024-07-14 20:40:00-07:00,True,0.3023255813953488,2.0232558139534884,ASIA,True,True,True,True,2024
2024-07-16 09:10:00-07:00,False,1.0,0.6619318181818182,NY,True,True,False,False,2024
2024-07-16 20:40:00-07:00,False,0.022058823529411766,2.2058823529411766,ASIA,True,True,True,True,2024
2024-07-23 06:05:00-07:00,True,1.0,1.9237668161434978,LONDON,True,True,True,True,2024
2024-07-24 04:05:00-07:00,False,0.5656565656565656,2.4393939393939394,LONDON,True,True,True,True,2024
2024-08-02 10:25:00-07:00,False,0.6517690875232774,2.1396648044692737,NY,True,True,True,True,2024
2024-08-06 02:00:00-07:00,False,1.0,1.3461538461538463,LONDON,True,True,True,True,2024
2024-08-06 05:25:00-07:00,False,1.0,1.6162528216704288,LONDON,True,True,True,True,2024
2024-08-19 01:05:00-07:00,False,1.0,0.2648752399232246,LONDON,True,False,False,False,2024
2024-08-21 06:45:00-07:00,True,0.5578947368421052,2.126315789473684,NY,True,True,True,True,2024
2024-08-26 12:40:00-07:00,False,1.0,0.926605504587156,NY,True,True,True,False,2024
2024-08-28 01:30:00-07:00,True,1.0,1.509090909090909,LONDON,True,True,True,True,2024
2024-08-28 18:30:00-07:00,False,1.0,0.16783216783216784,ASIA,False,False,False,False,2024
