sample,utc,new_york,pacific,open,high,low,close
S11,2020-01-31T16:17:00+00:00,2020-01-31T11:17:00-05:00,2020-01-31T08:17:00-08:00,12319.5,12329.75,12314.25,12327.75
S11,2020-01-31T16:18:00+00:00,2020-01-31T11:18:00-05:00,2020-01-31T08:18:00-08:00,12327.75,12338.5,12325.25,12338.0
S11,2020-01-31T16:19:00+00:00,2020-01-31T11:19:00-05:00,2020-01-31T08:19:00-08:00,12337.75,12344.25,12335.5,12341.5
S11,2020-01-31T16:20:00+00:00,2020-01-31T11:20:00-05:00,2020-01-31T08:20:00-08:00,12341.5,12347.5,12340.5,12344.0
S11,2020-01-31T16:21:00+00:00,2020-01-31T11:21:00-05:00,2020-01-31T08:21:00-08:00,12344.0,12346.5,12339.0,12340.0
S11,2020-01-31T16:22:00+00:00,2020-01-31T11:22:00-05:00,2020-01-31T08:22:00-08:00,12340.25,12348.5,12339.5,12346.75
S11,2020-01-31T16:23:00+00:00,2020-01-31T11:23:00-05:00,2020-01-31T08:23:00-08:00,12347.25,12350.5,12343.25,12344.25
S11,2020-01-31T16:24:00+00:00,2020-01-31T11:24:00-05:00,2020-01-31T08:24:00-08:00,12344.0,12347.0,12340.25,12341.0
S11,2020-01-31T16:25:00+00:00,2020-01-31T11:25:00-05:00,2020-01-31T08:25:00-08:00,12340.75,12340.75,12334.5,12334.5
S11,2020-01-31T16:26:00+00:00,2020-01-31T11:26:00-05:00,2020-01-31T08:26:00-08:00,12334.25,12338.75,12328.5,12335.25
S11,2020-01-31T16:27:00+00:00,2020-01-31T11:27:00-05:00,2020-01-31T08:27:00-08:00,12335.25,12337.75,12331.5,12337.5
S11,2020-01-31T16:28:00+00:00,2020-01-31T11:28:00-05:00,2020-01-31T08:28:00-08:00,12337.25,12342.0,12335.0,12338.5
S11,2020-01-31T16:29:00+00:00,2020-01-31T11:29:00-05:00,2020-01-31T08:29:00-08:00,12338.75,12339.25,12325.0,12325.25
S11,2020-01-31T16:30:00+00:00,2020-01-31T11:30:00-05:00,2020-01-31T08:30:00-08:00,12325.25,12333.0,12324.75,12325.25
S11,2020-01-31T16:31:00+00:00,2020-01-31T11:31:00-05:00,2020-01-31T08:31:00-08:00,12325.0,12331.75,12324.75,12327.75
S11,2020-01-31T16:32:00+00:00,2020-01-31T11:32:00-05:00,2020-01-31T08:32:00-08:00,12328.0,12330.5,12324.0,12327.25
S11,2020-01-31T16:33:00+00:00,2020-01-31T11:33:00-05:00,2020-01-31T08:33:00-08:00,12327.25,12333.5,12325.0,12327.25
S11,2020-01-31T16:34:00+00:00,2020-01-31T11:34:00-05:00,2020-01-31T08:34:00-08:00,12327.0,12338.25,12325.5,12338.25
S11,2020-01-31T16:35:00+00:00,2020-01-31T11:35:00-05:00,2020-01-31T08:35:00-08:00,12338.25,12340.25,12332.5,12336.75
S11,2020-01-31T16:36:00+00:00,2020-01-31T11:36:00-05:00,2020-01-31T08:36:00-08:00,12336.75,12343.25,12335.5,12341.75
S11,2020-01-31T16:37:00+00:00,2020-01-31T11:37:00-05:00,2020-01-31T08:37:00-08:00,12342.0,12343.75,12337.0,12337.25
S11,2020-01-31T16:38:00+00:00,2020-01-31T11:38:00-05:00,2020-01-31T08:38:00-08:00,12337.25,12337.75,12328.0,12328.75
S11,2020-01-31T16:39:00+00:00,2020-01-31T11:39:00-05:00,2020-01-31T08:39:00-08:00,12328.5,12328.75,12317.5,12319.0
S11,2020-01-31T16:40:00+00:00,2020-01-31T11:40:00-05:00,2020-01-31T08:40:00-08:00,12318.75,12326.5,12309.25,12326.0
S12,2020-04-24T14:11:00+00:00,2020-04-24T10:11:00-04:00,2020-04-24T07:11:00-07:00,11905.75,11921.5,11905.25,11921.0
S12,2020-04-24T14:12:00+00:00,2020-04-24T10:12:00-04:00,2020-04-24T07:12:00-07:00,11921.25,11927.25,11920.25,11922.0
S12,2020-04-24T14:13:00+00:00,2020-04-24T10:13:00-04:00,2020-04-24T07:13:00-07:00,11921.75,11934.75,11920.75,11930.0
S12,2020-04-24T14:14:00+00:00,2020-04-24T10:14:00-04:00,2020-04-24T07:14:00-07:00,11930.0,11934.75,11924.0,11932.25
S12,2020-04-24T14:15:00+00:00,2020-04-24T10:15:00-04:00,2020-04-24T07:15:00-07:00,11932.5,11940.0,11929.5,11932.5
S12,2020-04-24T14:16:00+00:00,2020-04-24T10:16:00-04:00,2020-04-24T07:16:00-07:00,11933.5,11937.5,11926.5,11932.5
S12,2020-04-24T14:17:00+00:00,2020-04-24T10:17:00-04:00,2020-04-24T07:17:00-07:00,11932.5,11938.0,11924.25,11938.0
S12,2020-04-24T14:18:00+00:00,2020-04-24T10:18:00-04:00,2020-04-24T07:18:00-07:00,11938.0,11940.0,11931.5,11937.0
S12,2020-04-24T14:19:00+00:00,2020-04-24T10:19:00-04:00,2020-04-24T07:19:00-07:00,11936.75,11948.0,11933.5,11945.5
S12,2020-04-24T14:20:00+00:00,2020-04-24T10:20:00-04:00,2020-04-24T07:20:00-07:00,11945.5,11953.75,11943.75,11950.25
S12,2020-04-24T14:21:00+00:00,2020-04-24T10:21:00-04:00,2020-04-24T07:21:00-07:00,11950.0,11952.25,11944.75,11945.5
S12,2020-04-24T14:22:00+00:00,2020-04-24T10:22:00-04:00,2020-04-24T07:22:00-07:00,11945.5,11955.25,11942.25,11951.25
S12,2020-04-24T14:23:00+00:00,2020-04-24T10:23:00-04:00,2020-04-24T07:23:00-07:00,11951.0,11958.5,11949.0,11958.25
S12,2020-04-24T14:24:00+00:00,2020-04-24T10:24:00-04:00,2020-04-24T07:24:00-07:00,11958.5,11959.5,11950.0,11950.25
S12,2020-04-24T14:25:00+00:00,2020-04-24T10:25:00-04:00,2020-04-24T07:25:00-07:00,11950.5,11953.75,11946.0,11949.25
S12,2020-04-24T14:26:00+00:00,2020-04-24T10:26:00-04:00,2020-04-24T07:26:00-07:00,11949.0,11954.0,11941.0,11941.25
S12,2020-04-24T14:27:00+00:00,2020-04-24T10:27:00-04:00,2020-04-24T07:27:00-07:00,11942.0,11943.0,11936.75,11939.25
S12,2020-04-24T14:28:00+00:00,2020-04-24T10:28:00-04:00,2020-04-24T07:28:00-07:00,11939.0,11944.0,11935.0,11941.75
